name,state,idIBGE
Meridiano,SP,3529609
Mesópolis,SP,3529658
Miguelópolis,SP,3529708
Mineiros do Tietê,SP,3529807
Mira Estrela,SP,3530003
Miracatu,SP,3529906
Mirandópolis,SP,3530102
Mirante do Paranapanema,SP,3530201
Mirassol,SP,3530300
Mirassolândia,SP,3530409
Mococa,SP,3530508
Mogi das Cruzes,SP,3530607
Mogi Guaçu,SP,3530706
Mogi Mirim,SP,3530805
Mombuca,SP,3530904
Monções,SP,3531001
Mongaguá,SP,3531100
Monte Alegre do Sul,SP,3531209
Monte Alto,SP,3531308
Monte Aprazível,SP,3531407
Monte Azul Paulista,SP,3531506
Monte Castelo,SP,3531605
Monte Mor,SP,3531803
Monteiro Lobato,SP,3531704
Morro Agudo,SP,3531902
Morungaba,SP,3532009
Motuca,SP,3532058
Murutinga do Sul,SP,3532108
Nantes,SP,3532157
Narandiba,SP,3532207
Natividade da Serra,SP,3532306
Nazaré Paulista,SP,3532405
Neves Paulista,SP,3532504
Nhandeara,SP,3532603
Nipoã,SP,3532702
Nova Aliança,SP,3532801
Nova Campina,SP,3532827
Nova Canaã Paulista,SP,3532843
Nova Castilho,SP,3532868
Nova Europa,SP,3532900
Nova Granada,SP,3533007
Nova Guataporanga,SP,3533106
Nova Independência,SP,3533205
Nova Luzitânia,SP,3533304
Nova Odessa,SP,3533403
Novais,SP,3533254
Novo Horizonte,SP,3533502
Nuporanga,SP,3533601
Ocauçu,SP,3533700
Óleo,SP,3533809
Olímpia,SP,3533908
Onda Verde,SP,3534005
Oriente,SP,3534104
Orindiúva,SP,3534203
Orlândia,SP,3534302
Osasco,SP,3534401
Oscar Bressane,SP,3534500
Osvaldo Cruz,SP,3534609
Ourinhos,SP,3534708
Ouro Verde,SP,3534807
Ouroeste,SP,3534757
Pacaembu,SP,3534906
Palestina,SP,3535002
Palmares Paulista,SP,3535101
Palmeira d'Oeste,SP,3535200
Palmital,SP,3535309
Panorama,SP,3535408
Paraguaçu Paulista,SP,3535507
Paraibuna,SP,3535606
Paraíso,SP,3535705
Paranapanema,SP,3535804
Paranapuã,SP,3535903
Parapuã,SP,3536000
Pardinho,SP,3536109
Pariquera-Açu,SP,3536208
Parisi,SP,3536257
Patrocínio Paulista,SP,3536307
Paulicéia,SP,3536406
Paulínia,SP,3536505
Paulistânia,SP,3536570
Paulo de Faria,SP,3536604
Pederneiras,SP,3536703
Pedra Bela,SP,3536802
Pedranópolis,SP,3536901
Pedregulho,SP,3537008
Pedreira,SP,3537107
Pedrinhas Paulista,SP,3537156
Pedro de Toledo,SP,3537206
Penápolis,SP,3537305
Pereira Barreto,SP,3537404
Pereiras,SP,3537503
Peruíbe,SP,3537602
Piacatu,SP,3537701
Piedade,SP,3537800
Pilar do Sul,SP,3537909
Pindamonhangaba,SP,3538006
Pindorama,SP,3538105
Pinhalzinho,SP,3538204
Piquerobi,SP,3538303
Piquete,SP,3538501
Piracaia,SP,3538600
Piracicaba,SP,3538709
Piraju,SP,3538808
Pirajuí,SP,3538907
Pirangi,SP,3539004
Pirapora do Bom Jesus,SP,3539103
Pirapozinho,SP,3539202
Pirassununga,SP,3539301
Piratininga,SP,3539400
Pitangueiras,SP,3539509
Planalto,SP,3539608
Platina,SP,3539707
Poá,SP,3539806
Poloni,SP,3539905
Pompéia,SP,3540002
Pongaí,SP,3540101
Pontal,SP,3540200
Pontalinda,SP,3540259
Pontes Gestal,SP,3540309
Populina,SP,3540408
Porangaba,SP,3540507
Porto Feliz,SP,3540606
Porto Ferreira,SP,3540705
Potim,SP,3540754
Potirendaba,SP,3540804
Pracinha,SP,3540853
Pradópolis,SP,3540903
Praia Grande,SP,3541000
Pratânia,SP,3541059
Presidente Alves,SP,3541109
Presidente Bernardes,SP,3541208
Presidente Epitácio,SP,3541307
Presidente Prudente,SP,3541406
Presidente Venceslau,SP,3541505
Promissão,SP,3541604
Quadra,SP,3541653
Quatá,SP,3541703
Queiroz,SP,3541802
Queluz,SP,3541901
Quintana,SP,3542008
Rafard,SP,3542107
Rancharia,SP,3542206
Redenção da Serra,SP,3542305
Regente Feijó,SP,3542404
Reginópolis,SP,3542503
Registro,SP,3542602
Restinga,SP,3542701
Ribeira,SP,3542800
Ribeirão Bonito,SP,3542909
Ribeirão Branco,SP,3543006
Ribeirão Corrente,SP,3543105
Ribeirão do Sul,SP,3543204
Ribeirão dos Índios,SP,3543238
Ribeirão Grande,SP,3543253
Ribeirão Pires,SP,3543303
Ribeirão Preto,SP,3543402
Rifaina,SP,3543600
Rincão,SP,3543709
Rinópolis,SP,3543808
Rio Claro,SP,3543907
Rio das Pedras,SP,3544004
Rio Grande da Serra,SP,3544103
Riolândia,SP,3544202
Riversul,SP,3543501
Rosana,SP,3544251
Roseira,SP,3544301
Rubiácea,SP,3544400
Rubinéia,SP,3544509
Sabino,SP,3544608
Sagres,SP,3544707
Sales,SP,3544806
Sales Oliveira,SP,3544905
Salesópolis,SP,3545001
Salmourão,SP,3545100
Saltinho,SP,3545159
Salto,SP,3545209
Salto de Pirapora,SP,3545308
Salto Grande,SP,3545407
Sandovalina,SP,3545506
Santa Adélia,SP,3545605
Santa Albertina,SP,3545704
Santa Bárbara d'Oeste,SP,3545803
Santa Branca,SP,3546009
Santa Clara d'Oeste,SP,3546108
Santa Cruz da Conceição,SP,3546207
Santa Cruz da Esperança,SP,3546256
Santa Cruz das Palmeiras,SP,3546306
Santa Cruz do Rio Pardo,SP,3546405
Santa Ernestina,SP,3546504
Santa Fé do Sul,SP,3546603
Santa Gertrudes,SP,3546702
Santa Isabel,SP,3546801
Santa Lúcia,SP,3546900
Santa Maria da Serra,SP,3547007
Santa Mercedes,SP,3547106
Santa Rita d'Oeste,SP,3547403
Santa Rita do Passa Quatro,SP,3547502
Santa Rosa de Viterbo,SP,3547601
Santa Salete,SP,3547650
Santana da Ponte Pensa,SP,3547205
Santana de Parnaíba,SP,3547304
Santo Anastácio,SP,3547700
Santo André,SP,3547809
Santo Antônio da Alegria,SP,3547908
Santo Antônio de Posse,SP,3548005
Santo Antônio do Aracanguá,SP,3548054
Santo Antônio do Jardim,SP,3548104
Santo Antônio do Pinhal,SP,3548203
Santo Expedito,SP,3548302
Santópolis do Aguapeí,SP,3548401
Santos,SP,3548500
São Bento do Sapucaí,SP,3548609
São Bernardo do Campo,SP,3548708
São Caetano do Sul,SP,3548807
São Carlos,SP,3548906
São Francisco,SP,3549003
São João da Boa Vista,SP,3549102
São João das Duas Pontes,SP,3549201
São João de Iracema,SP,3549250
São João do Pau d'Alho,SP,3549300
São Joaquim da Barra,SP,3549409
São José da Bela Vista,SP,3549508
São José do Barreiro,SP,3549607
São José do Rio Pardo,SP,3549706
São José do Rio Preto,SP,3549805
São José dos Campos,SP,3549904
São Lourenço da Serra,SP,3549953
São Luiz do Paraitinga,SP,3550001
São Manuel,SP,3550100
São Miguel Arcanjo,SP,3550209
São Paulo,SP,3550308
São Pedro,SP,3550407
São Pedro do Turvo,SP,3550506
São Roque,SP,3550605
São Sebastião,SP,3550704
São Sebastião da Grama,SP,3550803
São Simão,SP,3550902
São Vicente,SP,3551009
Sarapuí,SP,3551108
Sarutaiá,SP,3551207
Sebastianópolis do Sul,SP,3551306
Serra Azul,SP,3551405
Serra Negra,SP,3551603
Serrana,SP,3551504
Sertãozinho,SP,3551702
Sete Barras,SP,3551801
Severínia,SP,3551900
Silveiras,SP,3552007
Socorro,SP,3552106
Sorocaba,SP,3552205
Sud Mennucci,SP,3552304
Sumaré,SP,3552403
Suzanápolis,SP,3552551
Suzano,SP,3552502
Tabapuã,SP,3552601
Tabatinga,SP,3552700
Taboão da Serra,SP,3552809
Taciba,SP,3552908
Taguaí,SP,3553005
Taiaçu,SP,3553104
Taiúva,SP,3553203
Tambaú,SP,3553302
Tanabi,SP,3553401
Tapiraí,SP,3553500
Tapiratiba,SP,3553609
Taquaral,SP,3553658
Taquaritinga,SP,3553708
Taquarituba,SP,3553807
Taquarivaí,SP,3553856
Tarabai,SP,3553906
Tarumã,SP,3553955
Tatuí,SP,3554003
Taubaté,SP,3554102
Tejupá,SP,3554201
Teodoro Sampaio,SP,3554300
Terra Roxa,SP,3554409
Tietê,SP,3554508
Timburi,SP,3554607
Torre de Pedra,SP,3554656
Torrinha,SP,3554706
Trabiju,SP,3554755
Tremembé,SP,3554805
Três Fronteiras,SP,3554904
Tuiuti,SP,3554953
Tupã,SP,3555000
Tupi Paulista,SP,3555109
Turiúba,SP,3555208
Turmalina,SP,3555307
Ubarana,SP,3555356
Ubatuba,SP,3555406
Ubirajara,SP,3555505
Uchoa,SP,3555604
União Paulista,SP,3555703
Urânia,SP,3555802
Uru,SP,3555901
Urupês,SP,3556008
Valentim Gentil,SP,3556107
Valinhos,SP,3556206
Valparaíso,SP,3556305
Vargem,SP,3556354
Vargem Grande do Sul,SP,3556404
Vargem Grande Paulista,SP,3556453
Várzea Paulista,SP,3556503
Vera Cruz,SP,3556602
Vinhedo,SP,3556701
Viradouro,SP,3556800
Vista Alegre do Alto,SP,3556909
Vitória Brasil,SP,3556958
Votorantim,SP,3557006
Votuporanga,SP,3557105
Zacarias,SP,3557154
